"","number","contractName","name","address","banking","bonus","status","lastUpdate","connected","overflow","shape","position.latitude","position.longitude","totalStands.capacity","totalStands.availabilities.bikes","totalStands.availabilities.stands","totalStands.availabilities.mechanicalBikes","totalStands.availabilities.electricalBikes","totalStands.availabilities.electricalInternalBatteryBikes","totalStands.availabilities.electricalRemovableBatteryBikes","mainStands.capacity","mainStands.availabilities.bikes","mainStands.availabilities.stands","mainStands.availabilities.mechanicalBikes","mainStands.availabilities.electricalBikes","mainStands.availabilities.electricalInternalBatteryBikes","mainStands.availabilities.electricalRemovableBatteryBikes","overflowStands.capacity","overflowStands.availabilities.bikes","overflowStands.availabilities.stands","overflowStands.availabilities.mechanicalBikes","overflowStands.availabilities.electricalBikes","overflowStands.availabilities.electricalInternalBatteryBikes","overflowStands.availabilities.electricalRemovableBatteryBikes","region"
"79",9044,"lyon","9044 - MASSET / SAINT-PIERRE DE VAISE","20 AV. JOANNES MASSET",FALSE,FALSE,"OPEN","2023-10-06T11:48:58Z",TRUE,FALSE,NA,45.770508,4.800869,16,15,1,8,7,0,7,16,15,1,8,7,0,7,NA,NA,NA,NA,NA,NA,NA,"69009"
"80",28001,"lyon","28001 - FONTAINES S/S - QUAI SIMON","",TRUE,FALSE,"OPEN","2023-10-06T11:48:10Z",TRUE,FALSE,NA,45.832495,4.848795,20,8,12,6,2,0,2,20,8,12,6,2,0,2,NA,NA,NA,NA,NA,NA,NA," 69270"
"81",10075,"lyon","10075 - GABRIEL PÉRI","Angle cours André Philip",FALSE,FALSE,"OPEN","2023-10-06T11:49:40Z",TRUE,FALSE,NA,45.772277,4.865774,12,5,7,4,1,0,1,12,5,7,4,1,0,1,NA,NA,NA,NA,NA,NA,NA," 69100"
"82",4006,"lyon","4006 - PHILIPPE DE LASSALLE","Angle rue Anselme, face à l'IUFM",FALSE,TRUE,"OPEN","2023-10-06T11:48:50Z",TRUE,FALSE,NA,45.773358,4.821234,23,1,22,0,1,0,1,23,1,22,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69800"
"83",6017,"lyon","6017 - LAFAYETTE / INKERMANN","",TRUE,FALSE,"OPEN","2023-10-06T11:49:05Z",TRUE,FALSE,NA,45.764062,4.865802,30,6,24,2,4,0,4,30,6,24,2,4,0,4,NA,NA,NA,NA,NA,NA,NA,"69009"
"84",2036,"lyon","2036 - PLACE ANTONIN GOURJU","11 PLACE ANTONIN GOURJU",TRUE,FALSE,"OPEN","2023-10-06T11:48:43Z",TRUE,FALSE,NA,45.759494,4.830161,30,8,22,3,5,0,5,30,8,22,3,5,0,5,NA,NA,NA,NA,NA,NA,NA,"69200"
"85",6002,"lyon","6002 - PORTE DES ENFANTS DU RHÔNE","Le long des grilles, côté ouest de la porte",TRUE,FALSE,"OPEN","2023-10-06T11:49:56Z",TRUE,FALSE,NA,45.777521,4.844922,40,3,37,2,1,0,1,40,3,37,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69002"
"86",6032,"lyon","6032 - PRÉFECTURE / SARRAIL","Angle rue Vauban",TRUE,FALSE,"OPEN","2023-10-06T11:49:52Z",TRUE,FALSE,NA,45.764821,4.841567,20,2,18,2,0,0,0,20,2,18,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69001"
"87",8055,"lyon","8055 - SAINT-ROMAIN / BERLIET","",TRUE,FALSE,"OPEN","2023-10-06T11:47:42Z",TRUE,FALSE,NA,45.74222,4.860219,20,0,19,0,1,0,1,20,0,19,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69300"
"88",10016,"lyon","10016 - PLACE DE LA PAIX","10 PLACE DE LA PAIX (VILLEURBANNE)",FALSE,FALSE,"OPEN","2023-10-06T11:47:42Z",TRUE,FALSE,NA,45.752074,4.91466,17,1,16,0,1,0,1,17,1,16,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69007"
"89",7033,"lyon","7033 - SAINT-LUC / SAINT-JOSEPH","Sur le quai haut",TRUE,FALSE,"OPEN","2023-10-06T11:49:34Z",TRUE,FALSE,NA,45.749431,4.834816,33,18,15,6,12,0,12,33,18,15,6,12,0,12,NA,NA,NA,NA,NA,NA,NA,"69009"
"90",7041,"lyon","7041 - DOMER / CHEVREUL","Rue Domer/angle rue Chevreul",FALSE,FALSE,"OPEN","2023-10-06T11:47:12Z",TRUE,FALSE,NA,45.746681,4.844455,12,2,10,2,0,0,0,12,2,10,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69100"
"91",3090,"lyon","3090 - VINATIER","",TRUE,FALSE,"OPEN","2023-10-06T11:48:33Z",TRUE,FALSE,NA,45.741922,4.894068,20,16,4,7,9,0,9,20,16,4,7,9,0,9,NA,NA,NA,NA,NA,NA,NA,"69007"
"92",8008,"lyon","8008 - BEAUVISAGE / PRESSENSÉ","Rue du Professeur Beauvisage",FALSE,FALSE,"OPEN","2023-10-06T11:40:21Z",TRUE,FALSE,NA,45.727881,4.86355,17,4,13,1,3,0,3,17,4,13,1,3,0,3,NA,NA,NA,NA,NA,NA,NA,"69100"
"93",3071,"lyon","3071 - BIOPARC","angle ave Rockfeller / cours Eugénie face au Bioparc",FALSE,FALSE,"OPEN","2023-10-06T11:46:20Z",TRUE,FALSE,NA,45.740492,4.888084,20,6,14,2,4,0,4,20,6,14,2,4,0,4,NA,NA,NA,NA,NA,NA,NA," 69003"
"94",5006,"lyon","5006 - QUAI ROMAIN ROLLAND","Face ancien Palais de Justice",TRUE,FALSE,"OPEN","2023-10-06T11:49:54Z",TRUE,FALSE,NA,45.7620452080746,4.82872732991442,17,11,6,9,2,0,2,17,11,6,9,2,0,2,NA,NA,NA,NA,NA,NA,NA,"69003"
"95",10014,"lyon","10014 - LAURENT BONNEVAY / ASTROBALLE","64 AV. MARCEL CERDAN",FALSE,FALSE,"OPEN","2023-10-06T11:45:34Z",TRUE,FALSE,NA,45.765214,4.909808,28,3,25,2,1,0,1,28,3,25,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69007"
"96",10004,"lyon","10004 - TONKIN","Rue Salvador Allende / Angle promenade du Lys",FALSE,FALSE,"OPEN","2023-10-06T11:48:13Z",TRUE,FALSE,NA,45.776217,4.862636,10,3,7,0,3,0,3,10,3,7,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,"69300"
"97",1013,"lyon","1013 - MARTINIÈRE","Rue de la Martinière",TRUE,FALSE,"OPEN","2023-10-06T11:47:39Z",TRUE,FALSE,NA,45.768223,4.827533,11,0,11,0,0,0,0,11,0,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69100"
"98",26001,"lyon","26001 - ST DIDIER","",FALSE,FALSE,"OPEN","2023-10-06T11:45:52Z",TRUE,FALSE,NA,45.791621,4.808426,17,0,17,0,0,0,0,17,0,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA," 69370"
"99",9010,"lyon","9010 - PISCINE DE VAISE","37 AV. SIDOINE APOLLINAIRE",FALSE,FALSE,"OPEN","2023-10-06T11:43:58Z",TRUE,FALSE,NA,45.771034,4.79644,19,12,7,5,7,0,7,19,12,7,5,7,0,7,NA,NA,NA,NA,NA,NA,NA," 69009"
"100",6028,"lyon","6028 - RÉCAMIER / TÊTE D'OR","Angle rue Tête d'Or",FALSE,FALSE,"OPEN","2023-10-06T11:49:06Z",TRUE,FALSE,NA,45.764345,4.853492,16,16,0,10,6,0,6,16,16,0,10,6,0,6,NA,NA,NA,NA,NA,NA,NA,"69007"
"101",10034,"lyon","10034 - DOCTEUR DAMIDOT","Devant la MJC",FALSE,FALSE,"OPEN","2023-10-06T11:45:12Z",TRUE,FALSE,NA,45.761825,4.886156,18,2,16,1,1,0,1,18,2,16,1,1,0,1,NA,NA,NA,NA,NA,NA,NA," 69100"
